instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,miscalc,quarter
40,2011-01-02,1,0,1,16,0,0,0,3,13.940000000000001,16.9983,71.0,11.0014,9,67,76,0,q1
41,2011-01-02,1,0,1,17,0,0,0,1,13.940000000000001,16.9983,56.99999999999999,12.998000000000001,7,58,65,0,q1
42,2011-01-02,1,0,1,18,0,0,0,2,14.76,16.9983,46.0,22.0028,10,43,53,0,q1
43,2011-01-02,1,0,1,19,0,0,0,1,13.120000000000001,14.6829,42.0,30.002599999999997,1,29,30,0,q1
44,2011-01-02,1,0,1,20,0,0,0,1,12.299999999999999,13.9077,39.0,23.9994,5,17,22,0,q1
45,2011-01-02,1,0,1,21,0,0,0,1,10.66,11.5923,44.0,22.0028,11,20,31,0,q1
46,2011-01-02,1,0,1,22,0,0,0,1,9.84,10.8171,44.0,19.999499999999998,0,9,9,0,q1
47,2011-01-02,1,0,1,23,0,0,0,1,9.02,11.5923,47.0,11.0014,0,8,8,0,q1
48,2011-01-03,1,0,1,0,0,1,1,1,9.02,10.047,44.0,23.9994,0,5,5,0,q1
49,2011-01-03,1,0,1,1,0,1,1,1,8.200000000000001,8.5017,44.0,27.999299999999998,0,2,2,0,q1
50,2011-01-03,1,0,1,4,0,1,1,1,6.5600000000000005,6.9563999999999995,47.0,26.0027,0,1,1,0,q1
51,2011-01-03,1,0,1,5,0,1,1,1,6.5600000000000005,6.9563999999999995,47.0,19.0012,0,3,3,0,q1
52,2011-01-03,1,0,1,6,0,1,1,1,5.74,5.4111,50.0,26.0027,0,30,30,0,q1
53,2011-01-03,1,0,1,7,0,1,1,1,5.74,6.9563999999999995,50.0,12.998000000000001,1,63,64,0,q1
54,2011-01-03,1,0,1,8,0,1,1,1,5.74,6.1812000000000005,50.0,19.0012,1,153,154,0,q1
55,2011-01-03,1,0,1,9,0,1,1,1,6.5600000000000005,6.9563999999999995,43.0,26.0027,7,81,88,0,q1
56,2011-01-03,1,0,1,10,0,1,1,1,7.38,8.5017,43.0,16.997899999999998,11,33,44,0,q1
57,2011-01-03,1,0,1,11,0,1,1,1,8.200000000000001,9.271799999999999,40.0,22.0028,10,41,51,0,q1
58,2011-01-03,1,0,1,12,0,1,1,1,9.02,10.8171,35.0,19.999499999999998,13,48,61,0,q1
59,2011-01-03,1,0,1,13,0,1,1,1,9.84,10.8171,35.0,19.0012,8,53,61,0,q1
60,2011-01-03,1,0,1,14,0,1,1,1,10.66,12.362400000000001,30.0,19.0012,11,66,77,0,q1
61,2011-01-03,1,0,1,15,0,1,1,1,10.66,12.362400000000001,30.0,16.997899999999998,14,58,72,0,q1
62,2011-01-03,1,0,1,16,0,1,1,1,10.66,12.362400000000001,30.0,16.997899999999998,9,67,76,0,q1
63,2011-01-03,1,0,1,17,0,1,1,1,9.84,11.5923,30.0,15.001299999999999,11,146,157,0,q1
64,2011-01-03,1,0,1,18,0,1,1,1,9.84,13.137599999999999,32.0,7.0015,9,148,157,0,q1
65,2011-01-03,1,0,1,19,0,1,1,1,8.200000000000001,13.137599999999999,47.0,0.0,8,102,110,0,q1
66,2011-01-03,1,0,1,20,0,1,1,1,8.200000000000001,11.5923,47.0,7.0015,3,49,52,0,q1
67,2011-01-03,1,0,1,21,0,1,1,1,7.38,10.047,64.0,8.9981,3,49,52,0,q1
68,2011-01-03,1,0,1,22,0,1,1,1,5.74,7.7265,69.0,8.9981,0,20,20,0,q1
69,2011-01-03,1,0,1,23,0,1,1,1,7.38,10.8171,55.00000000000001,7.0015,1,11,12,0,q1
70,2011-01-04,1,0,1,0,0,2,1,1,6.5600000000000005,9.271799999999999,55.00000000000001,7.0015,0,5,5,0,q1
71,2011-01-04,1,0,1,1,0,2,1,1,6.5600000000000005,9.271799999999999,59.0,7.0015,0,2,2,0,q1
72,2011-01-04,1,0,1,2,0,2,1,1,5.74,7.7265,63.0,8.9981,0,1,1,0,q1
73,2011-01-04,1,0,1,4,0,2,1,1,5.74,9.271799999999999,63.0,6.0032,0,2,2,0,q1
74,2011-01-04,1,0,1,5,0,2,1,1,4.92,7.7265,68.0,7.0015,0,4,4,0,q1
75,2011-01-04,1,0,1,6,0,2,1,1,4.92,7.7265,74.0,7.0015,0,36,36,0,q1
76,2011-01-04,1,0,1,7,0,2,1,1,4.92,7.7265,74.0,8.9981,2,92,94,0,q1
77,2011-01-04,1,0,1,8,0,2,1,1,5.74,7.7265,69.0,11.0014,2,177,179,0,q1
78,2011-01-04,1,0,1,9,0,2,1,1,6.5600000000000005,7.7265,64.0,15.001299999999999,2,98,100,0,q1
79,2011-01-04,1,0,1,10,0,2,1,2,6.5600000000000005,6.9563999999999995,69.0,22.0028,5,37,42,0,q1
80,2011-01-04,1,0,1,11,0,2,1,1,9.02,10.8171,51.0,19.999499999999998,7,50,57,0,q1
81,2011-01-04,1,0,1,12,0,2,1,1,9.02,11.5923,51.0,11.0014,12,66,78,0,q1
82,2011-01-04,1,0,1,13,0,2,1,1,9.84,11.5923,56.00000000000001,12.998000000000001,18,79,97,0,q1
83,2011-01-04,1,0,1,14,0,2,1,1,10.66,13.137599999999999,52.0,15.001299999999999,9,54,63,0,q1
84,2011-01-04,1,0,1,15,0,2,1,1,11.48,13.9077,52.0,16.997899999999998,17,48,65,0,q1
85,2011-01-04,1,0,1,16,0,2,1,1,12.299999999999999,14.6829,49.0,16.997899999999998,15,68,83,0,q1
86,2011-01-04,1,0,1,17,0,2,1,1,11.48,13.9077,48.0,15.001299999999999,10,202,212,0,q1
87,2011-01-04,1,0,1,18,0,2,1,1,10.66,13.137599999999999,48.0,12.998000000000001,3,179,182,0,q1
88,2011-01-04,1,0,1,19,0,2,1,1,9.84,13.137599999999999,48.0,7.0015,2,110,112,0,q1
89,2011-01-04,1,0,1,20,0,2,1,1,9.84,13.137599999999999,48.0,7.0015,1,53,54,0,q1
90,2011-01-04,1,0,1,21,0,2,1,1,9.02,13.9077,64.0,0.0,0,48,48,0,q1
91,2011-01-04,1,0,1,22,0,2,1,1,9.02,13.137599999999999,64.0,6.0032,1,34,35,0,q1
92,2011-01-04,1,0,1,23,0,2,1,1,8.200000000000001,11.5923,69.0,6.0032,2,9,11,0,q1
93,2011-01-05,1,0,1,0,0,3,1,1,8.200000000000001,13.137599999999999,64.0,0.0,0,6,6,0,q1
94,2011-01-05,1,0,1,1,0,3,1,1,6.5600000000000005,10.047,74.0,6.0032,0,6,6,0,q1
95,2011-01-05,1,0,1,2,0,3,1,1,6.5600000000000005,10.047,74.0,6.0032,0,2,2,0,q1
96,2011-01-05,1,0,1,4,0,3,1,1,9.84,11.5923,48.0,15.001299999999999,0,2,2,0,q1
97,2011-01-05,1,0,1,5,0,3,1,1,9.02,11.5923,47.0,11.0014,0,3,3,0,q1
98,2011-01-05,1,0,1,6,0,3,1,1,8.200000000000001,10.047,47.0,15.001299999999999,0,33,33,0,q1
99,2011-01-05,1,0,1,7,0,3,1,1,7.38,9.271799999999999,43.0,12.998000000000001,1,87,88,0,q1
100,2011-01-05,1,0,1,8,0,3,1,1,8.200000000000001,9.271799999999999,40.0,19.999499999999998,3,192,195,0,q1
101,2011-01-05,1,0,1,9,0,3,1,1,9.02,10.047,37.0,22.0028,6,109,115,0,q1
102,2011-01-05,1,0,1,10,0,3,1,1,9.02,10.047,37.0,22.0028,4,53,57,0,q1
103,2011-01-05,1,0,1,11,0,3,1,1,10.66,11.5923,33.0,22.0028,12,34,46,0,q1
104,2011-01-05,1,0,1,12,0,3,1,1,10.66,11.5923,33.0,22.0028,5,74,79,0,q1
105,2011-01-05,1,0,1,13,0,3,1,1,11.48,13.137599999999999,30.0,19.999499999999998,6,65,71,0,q1
106,2011-01-05,1,0,1,14,0,3,1,1,12.299999999999999,14.6829,28.000000000000004,12.998000000000001,10,52,62,0,q1
107,2011-01-05,1,0,1,15,0,3,1,1,12.299999999999999,14.6829,28.000000000000004,12.998000000000001,7,55,62,0,q1
108,2011-01-05,1,0,1,16,0,3,1,1,12.299999999999999,16.228199999999998,28.000000000000004,6.0032,4,85,89,0,q1
109,2011-01-05,1,0,1,17,0,3,1,1,9.84,11.5923,38.0,12.998000000000001,4,186,190,0,q1
110,2011-01-05,1,0,1,18,0,3,1,1,9.84,12.362400000000001,38.0,8.9981,3,166,169,0,q1
111,2011-01-05,1,0,1,19,0,3,1,1,9.84,13.137599999999999,38.0,7.0015,5,127,132,0,q1
112,2011-01-05,1,0,1,20,0,3,1,1,9.02,11.5923,47.0,11.0014,7,82,89,0,q1
113,2011-01-05,1,0,1,21,0,3,1,1,8.200000000000001,10.047,51.0,12.998000000000001,3,40,43,0,q1
114,2011-01-05,1,0,1,22,0,3,1,1,7.38,10.047,55.00000000000001,8.9981,1,41,42,0,q1
115,2011-01-05,1,0,1,23,0,3,1,1,8.200000000000001,13.137599999999999,47.0,0.0,1,18,19,0,q1
116,2011-01-06,1,0,1,0,0,4,1,1,7.38,12.362400000000001,55.00000000000001,0.0,0,11,11,0,q1
117,2011-01-06,1,0,1,1,0,4,1,1,6.5600000000000005,11.5923,64.0,0.0,0,4,4,0,q1
118,2011-01-06,1,0,1,2,0,4,1,1,6.5600000000000005,11.5923,64.0,0.0,0,2,2,0,q1
119,2011-01-06,1,0,1,4,0,4,1,2,6.5600000000000005,10.047,64.0,6.0032,0,1,1,0,q1
120,2011-01-06,1,0,1,5,0,4,1,2,5.74,9.271799999999999,69.0,6.0032,0,4,4,0,q1
121,2011-01-06,1,0,1,6,0,4,1,2,5.74,8.5017,63.0,7.0015,0,36,36,0,q1
122,2011-01-06,1,0,1,7,0,4,1,2,6.5600000000000005,11.5923,59.0,0.0,0,95,95,0,q1
123,2011-01-06,1,0,1,8,0,4,1,1,6.5600000000000005,11.5923,59.0,0.0,3,216,219,0,q1
124,2011-01-06,1,0,1,9,0,4,1,2,7.38,12.362400000000001,51.0,0.0,6,116,122,0,q1
125,2011-01-06,1,0,1,10,0,4,1,1,8.200000000000001,13.137599999999999,47.0,0.0,3,42,45,0,q1
126,2011-01-06,1,0,1,11,0,4,1,1,9.02,13.137599999999999,44.0,6.0032,2,57,59,0,q1
127,2011-01-06,1,0,1,12,0,4,1,1,10.66,14.6829,35.0,0.0,6,78,84,0,q1
128,2011-01-06,1,0,1,13,0,4,1,1,10.66,13.9077,35.0,7.0015,12,55,67,0,q1
129,2011-01-06,1,0,1,14,0,4,1,1,11.48,13.9077,36.0,11.0014,11,59,70,0,q1
130,2011-01-06,1,0,1,15,0,4,1,1,11.48,13.9077,36.0,0.0,8,54,62,0,q1
131,2011-01-06,1,0,1,16,0,4,1,1,10.66,13.137599999999999,38.0,11.0014,12,74,86,0,q1
132,2011-01-06,1,0,1,17,0,4,1,1,9.02,11.5923,51.0,11.0014,9,163,172,0,q1
133,2011-01-06,1,0,1,18,0,4,1,1,9.02,11.5923,51.0,8.9981,5,158,163,0,q1
134,2011-01-06,1,0,1,19,0,4,1,1,9.02,13.137599999999999,55.00000000000001,6.0032,3,109,112,0,q1
135,2011-01-06,1,0,1,20,0,4,1,1,8.200000000000001,10.8171,51.0,11.0014,3,66,69,0,q1
136,2011-01-06,1,0,1,21,0,4,1,2,9.02,10.8171,55.00000000000001,15.001299999999999,0,48,48,0,q1
137,2011-01-06,1,0,1,22,0,4,1,2,9.02,10.8171,51.0,19.0012,1,51,52,0,q1
138,2011-01-06,1,0,1,23,0,4,1,2,8.200000000000001,10.047,59.0,12.998000000000001,4,19,23,0,q1
139,2011-01-07,1,0,1,0,0,5,1,2,8.200000000000001,10.047,64.0,12.998000000000001,4,13,17,0,q1
140,2011-01-07,1,0,1,1,0,5,1,2,8.200000000000001,10.047,69.0,15.001299999999999,2,5,7,0,q1
141,2011-01-07,1,0,1,2,0,5,1,2,8.200000000000001,10.047,69.0,15.001299999999999,0,1,1,0,q1
142,2011-01-07,1,0,1,4,0,5,1,2,8.200000000000001,10.8171,69.0,8.9981,0,1,1,0,q1
143,2011-01-07,1,0,1,5,0,5,1,3,9.02,13.9077,55.00000000000001,0.0,0,5,5,0,q1
144,2011-01-07,1,0,1,6,0,5,1,2,8.200000000000001,13.137599999999999,69.0,0.0,8,26,34,0,q1
145,2011-01-07,1,0,1,7,0,5,1,1,8.200000000000001,10.8171,69.0,8.9981,8,76,84,0,q1
146,2011-01-07,1,0,1,8,0,5,1,1,8.200000000000001,10.047,51.0,16.997899999999998,20,190,210,0,q1
147,2011-01-07,1,0,1,9,0,5,1,1,8.200000000000001,9.271799999999999,47.0,19.999499999999998,9,125,134,0,q1
148,2011-01-07,1,0,1,10,0,5,1,1,9.02,10.047,37.0,22.0028,16,47,63,0,q1
149,2011-01-07,1,0,1,11,0,5,1,2,8.200000000000001,10.047,40.0,15.001299999999999,19,48,67,0,q1
150,2011-01-07,1,0,1,12,0,5,1,2,8.200000000000001,10.047,37.0,16.997899999999998,9,50,59,0,q1
151,2011-01-07,1,0,1,13,0,5,1,2,8.200000000000001,9.271799999999999,37.0,19.0012,9,64,73,0,q1
152,2011-01-07,1,0,1,14,0,5,1,2,8.200000000000001,10.047,40.0,16.997899999999998,7,43,50,0,q1
153,2011-01-07,1,0,1,15,0,5,1,2,8.200000000000001,10.8171,37.0,11.0014,9,63,72,0,q1
154,2011-01-07,1,0,1,16,0,5,1,2,8.200000000000001,10.8171,37.0,11.0014,5,82,87,0,q1
155,2011-01-07,1,0,1,17,0,5,1,2,8.200000000000001,13.137599999999999,37.0,0.0,9,178,187,0,q1
156,2011-01-07,1,0,1,18,0,5,1,1,8.200000000000001,11.5923,40.0,6.0032,7,116,123,0,q1
157,2011-01-07,1,0,1,19,0,5,1,1,6.5600000000000005,10.047,55.00000000000001,6.0032,3,92,95,0,q1
158,2011-01-07,1,0,1,20,0,5,1,1,7.38,10.8171,47.0,7.0015,1,50,51,0,q1
159,2011-01-07,1,0,1,21,0,5,1,1,7.38,10.047,47.0,8.9981,0,39,39,0,q1
160,2011-01-07,1,0,1,22,0,5,1,2,7.38,10.047,43.0,11.0014,2,34,36,0,q1
161,2011-01-07,1,0,1,23,0,5,1,2,7.38,10.047,51.0,11.0014,1,14,15,0,q1
162,2011-01-08,1,0,1,0,0,6,0,2,7.38,10.047,51.0,11.0014,1,24,25,0,q1
163,2011-01-08,1,0,1,1,0,6,0,2,7.38,10.8171,55.00000000000001,6.0032,1,15,16,0,q1
164,2011-01-08,1,0,1,2,0,6,0,2,7.38,12.362400000000001,55.00000000000001,0.0,3,13,16,0,q1
165,2011-01-08,1,0,1,3,0,6,0,3,7.38,10.047,55.00000000000001,11.0014,0,7,7,0,q1
166,2011-01-08,1,0,1,4,0,6,0,3,7.38,10.047,55.00000000000001,11.0014,0,1,1,0,q1
167,2011-01-08,1,0,1,5,0,6,0,2,6.5600000000000005,8.5017,74.0,11.0014,0,5,5,0,q1
168,2011-01-08,1,0,1,6,0,6,0,2,6.5600000000000005,8.5017,74.0,11.0014,0,2,2,0,q1
169,2011-01-08,1,0,1,7,0,6,0,2,6.5600000000000005,9.271799999999999,74.0,7.0015,1,8,9,0,q1
170,2011-01-08,1,0,1,8,0,6,0,3,6.5600000000000005,9.271799999999999,93.0,7.0015,0,15,15,0,q1
171,2011-01-08,1,0,1,9,0,6,0,3,6.5600000000000005,9.271799999999999,93.0,7.0015,0,20,20,0,q1
172,2011-01-08,1,0,1,10,0,6,0,2,7.38,10.047,80.0,11.0014,5,56,61,0,q1
173,2011-01-08,1,0,1,11,0,6,0,2,8.200000000000001,9.271799999999999,69.0,26.0027,2,60,62,0,q1
174,2011-01-08,1,0,1,12,0,6,0,2,8.200000000000001,9.271799999999999,59.0,23.9994,8,90,98,0,q1
175,2011-01-08,1,0,1,13,0,6,0,1,8.200000000000001,9.271799999999999,44.0,22.0028,7,95,102,0,q1
176,2011-01-08,1,0,1,14,0,6,0,1,8.200000000000001,8.5017,32.0,32.9975,12,83,95,0,q1
177,2011-01-08,1,0,1,15,0,6,0,1,8.200000000000001,8.5017,32.0,30.002599999999997,5,69,74,0,q1
178,2011-01-08,1,0,1,16,0,6,0,1,7.38,6.9563999999999995,28.999999999999996,30.002599999999997,8,68,76,0,q1
179,2011-01-08,1,0,1,17,0,6,0,1,6.5600000000000005,6.1812000000000005,37.0,36.9974,5,64,69,0,q1
180,2011-01-08,1,0,1,18,0,6,0,1,5.74,6.1812000000000005,39.0,19.999499999999998,3,52,55,0,q1
181,2011-01-08,1,0,1,19,0,6,0,1,5.74,6.1812000000000005,36.0,16.997899999999998,4,26,30,0,q1
182,2011-01-08,1,0,1,20,0,6,0,1,4.92,6.1812000000000005,36.0,16.997899999999998,0,28,28,0,q1
183,2011-01-08,1,0,1,21,0,6,0,1,4.92,5.4111,39.0,23.9994,2,35,37,0,q1
184,2011-01-08,1,0,1,22,0,6,0,1,4.92,5.4111,36.0,26.0027,1,33,34,0,q1
185,2011-01-08,1,0,1,23,0,6,0,1,4.1000000000000005,3.0906000000000002,39.0,30.002599999999997,0,22,22,0,q1
186,2011-01-09,1,0,1,0,0,0,0,1,4.1000000000000005,3.8658,42.0,26.0027,1,24,25,0,q1
187,2011-01-09,1,0,1,1,0,0,0,1,4.1000000000000005,3.0906000000000002,42.0,31.0009,0,12,12,0,q1
188,2011-01-09,1,0,1,2,0,0,0,1,4.1000000000000005,3.0906000000000002,46.0,31.0009,0,11,11,0,q1
189,2011-01-09,1,0,1,3,0,0,0,1,4.1000000000000005,3.8658,46.0,27.999299999999998,0,4,4,0,q1
190,2011-01-09,1,0,1,4,0,0,0,1,3.2800000000000002,4.6358999999999995,53.0,12.998000000000001,0,1,1,0,q1
191,2011-01-09,1,0,1,5,0,0,0,1,3.2800000000000002,4.6358999999999995,53.0,12.998000000000001,0,1,1,0,q1
192,2011-01-09,1,0,1,6,0,0,0,1,4.1000000000000005,4.6358999999999995,49.0,19.0012,0,1,1,0,q1
193,2011-01-09,1,0,1,7,0,0,0,1,3.2800000000000002,4.6358999999999995,53.0,12.998000000000001,1,5,6,0,q1
194,2011-01-09,1,0,1,8,0,0,0,1,4.1000000000000005,4.6358999999999995,49.0,19.0012,0,10,10,0,q1
195,2011-01-09,1,0,1,9,0,0,0,1,4.92,3.8658,46.0,35.0008,0,19,19,0,q1
196,2011-01-09,1,0,1,10,0,0,0,1,5.74,5.4111,43.0,26.0027,0,49,49,0,q1
197,2011-01-09,1,0,1,11,0,0,0,1,6.5600000000000005,6.1812000000000005,40.0,35.0008,2,47,49,0,q1
198,2011-01-09,1,0,1,12,0,0,0,1,7.38,6.9563999999999995,37.0,30.002599999999997,4,79,83,0,q1
199,2011-01-09,1,0,1,13,0,0,0,1,8.200000000000001,8.5017,34.0,30.002599999999997,6,69,75,0,q1
200,2011-01-09,1,0,1,14,0,0,0,1,9.02,9.271799999999999,32.0,31.0009,8,64,72,0,q1
201,2011-01-09,1,0,1,15,0,0,0,1,9.02,10.047,35.0,23.9994,5,77,82,0,q1
202,2011-01-09,1,0,1,16,0,0,0,1,8.200000000000001,8.5017,34.0,30.002599999999997,13,79,92,0,q1
203,2011-01-09,1,0,1,17,0,0,0,1,7.38,7.7265,37.0,26.0027,3,59,62,0,q1
204,2011-01-09,1,0,1,18,0,0,0,1,6.5600000000000005,6.9563999999999995,40.0,22.0028,4,44,48,0,q1
205,2011-01-09,1,0,1,19,0,0,0,1,6.5600000000000005,6.9563999999999995,43.0,22.0028,1,40,41,0,q1
206,2011-01-09,1,0,1,20,0,0,0,1,5.74,6.1812000000000005,46.0,16.997899999999998,0,38,38,0,q1
207,2011-01-09,1,0,1,21,0,0,0,1,5.74,5.4111,46.0,27.999299999999998,1,19,20,0,q1
208,2011-01-09,1,0,1,22,0,0,0,1,5.74,6.1812000000000005,46.0,19.999499999999998,5,10,15,0,q1
209,2011-01-09,1,0,1,23,0,0,0,1,4.92,6.9563999999999995,50.0,12.998000000000001,0,6,6,0,q1
210,2011-01-10,1,0,1,0,0,1,1,1,4.92,6.1812000000000005,50.0,19.0012,2,3,5,0,q1
211,2011-01-10,1,0,1,1,0,1,1,1,4.92,6.1812000000000005,50.0,19.0012,1,0,1,0,q1
212,2011-01-10,1,0,1,2,0,1,1,1,4.92,6.1812000000000005,50.0,15.001299999999999,0,3,3,0,q1
213,2011-01-10,1,0,1,3,0,1,1,1,4.92,6.1812000000000005,50.0,15.001299999999999,0,1,1,0,q1
214,2011-01-10,1,0,1,4,0,1,1,1,4.1000000000000005,6.1812000000000005,54.0,8.9981,1,2,3,0,q1
215,2011-01-10,1,0,1,5,0,1,1,1,4.1000000000000005,5.4111,54.0,16.997899999999998,0,3,3,0,q1
216,2011-01-10,1,0,1,6,0,1,1,1,4.92,6.1812000000000005,50.0,19.0012,0,31,31,0,q1
217,2011-01-10,1,0,1,7,0,1,1,1,4.92,6.1812000000000005,50.0,15.001299999999999,2,75,77,0,q1
218,2011-01-10,1,0,1,8,0,1,1,2,4.92,6.1812000000000005,50.0,19.0012,4,184,188,0,q1
219,2011-01-10,1,0,1,9,0,1,1,2,5.74,6.1812000000000005,50.0,16.997899999999998,2,92,94,0,q1
220,2011-01-10,1,0,1,10,0,1,1,2,5.74,6.1812000000000005,50.0,19.999499999999998,0,31,31,0,q1
221,2011-01-10,1,0,1,11,0,1,1,2,6.5600000000000005,6.9563999999999995,47.0,19.0012,2,28,30,0,q1
222,2011-01-10,1,0,1,12,0,1,1,2,8.200000000000001,9.271799999999999,40.0,19.0012,5,47,52,0,q1
223,2011-01-10,1,0,1,13,0,1,1,2,8.200000000000001,9.271799999999999,40.0,19.0012,4,50,54,0,q1
224,2011-01-10,1,0,1,14,0,1,1,2,8.200000000000001,10.047,40.0,15.001299999999999,0,47,47,0,q1
225,2011-01-10,1,0,1,15,0,1,1,2,8.200000000000001,10.047,40.0,15.001299999999999,2,43,45,0,q1
226,2011-01-10,1,0,1,16,0,1,1,1,8.200000000000001,10.8171,40.0,8.9981,4,70,74,0,q1
227,2011-01-10,1,0,1,17,0,1,1,1,8.200000000000001,11.5923,40.0,7.0015,4,174,178,0,q1
228,2011-01-10,1,0,1,18,0,1,1,1,8.200000000000001,10.047,40.0,15.001299999999999,1,154,155,0,q1
229,2011-01-10,1,0,1,19,0,1,1,1,6.5600000000000005,8.5017,47.0,11.0014,3,92,95,0,q1
230,2011-01-10,1,0,1,20,0,1,1,1,6.5600000000000005,8.5017,50.0,11.0014,1,73,74,0,q1
231,2011-01-10,1,0,1,21,0,1,1,1,5.74,6.9563999999999995,59.0,12.998000000000001,1,37,38,0,q1
232,2011-01-10,1,0,1,22,0,1,1,1,5.74,7.7265,59.0,11.0014,2,22,24,0,q1
233,2011-01-10,1,0,1,23,0,1,1,1,5.74,7.7265,59.0,11.0014,0,18,18,0,q1
234,2011-01-11,1,0,1,0,0,2,1,1,5.74,8.5017,59.0,7.0015,2,10,12,0,q1
235,2011-01-11,1,0,1,1,0,2,1,1,5.74,7.7265,59.0,11.0014,0,3,3,0,q1
236,2011-01-11,1,0,1,2,0,2,1,2,6.5600000000000005,7.7265,55.00000000000001,12.998000000000001,0,3,3,0,q1
237,2011-01-11,1,0,1,5,0,2,1,2,6.5600000000000005,9.271799999999999,55.00000000000001,8.9981,0,6,6,0,q1
